Improving Parameter,Worsening Parameter,Inventive Principles
01 Weight of Moving Object,44 Productivity,IP #35 and IP #24 and IP #10 and IP #28 and IP #12 and IP #1 and IP #37 and IP #3 and IP #16
01 Weight of Moving Object,45 System Complexity,IP #26 and IP #35 and IP #40 and IP #30 and IP #36 and IP #2 and IP #10 and IP #25 and IP #28
01 Weight of Moving Object,46 Control Complexity,IP #10 and IP #12 and IP #2 and IP #19 and IP #15 and IP #5
01 Weight of Moving Object,47 Ability to Detect/Measure,IP #26 and IP #28 and IP #32 and IP #5 and IP #20 and IP #36 and IP #32 and IP #37
01 Weight of Moving Object,48 Measurement Precision,IP #28 and IP #26 and IP #35 and IP #10 and IP #2 and IP #37
02 Weight of Stationary Object,01 Weight of Moving Object,IP #35 and IP #3 and IP #40 and IP #2 and IP #31 and IP #1 and IP #26 and 
02 Weight of Stationary Object,02 Weight of Stationary Object,see physical contradiction
02 Weight of Stationary Object,03 Length/Angle of Moving Object,IP #17 and IP #4 and IP #30 and IP #35 and IP #3 and IP #5
02 Weight of Stationary Object,04 Length/Angle of Stationary Object,IP #17 and IP #35 and IP #9 and IP #31 and IP #13 and IP #3 and IP #5
02 Weight of Stationary Object,05 Area of Moving Object,IP #17 and IP #3 and IP #30 and IP #7 and IP #35 and IP #4 and IP #14
02 Weight of Stationary Object,06 Area of Stationary Object,IP #17 and IP #14 and IP #3 and IP #35 and IP #30 and IP #4 and IP #9 and IP #40 and IP #13
02 Weight of Stationary Object,07 Volume of Moving Object,IP #14 and IP #13 and IP #3 and IP #40 and IP #35 and IP #5 and IP #30
02 Weight of Stationary Object,08 Volume of Stationary Object,IP #31 and IP #35 and IP #7 and IP #3 and IP #13 and IP #30
02 Weight of Stationary Object,09 Shape,IP #13 and IP #7 and IP #3 and IP #30 and IP #35 and IP #31 and IP #29 and IP #10
02 Weight of Stationary Object,10 Amount of Substance,IP #35 and IP #31 and IP #5 and IP #18 and IP #25 and IP #2
02 Weight of Stationary Object,11 Amount of Information,IP #28 and IP #13 and IP #7 and IP #26 and IP #2 and IP #17
02 Weight of Stationary Object,12 Duration of Action of Moving Object,IP #3 and IP #35 and IP #10 and IP #12 and IP #4 and IP #17 and IP #14
02 Weight of Stationary Object,13 Duration of Action of Stationary Object,IP #40 and IP #35 and IP #31 and IP #6 and IP #19 and IP #27 and IP #2
02 Weight of Stationary Object,14 Speed,IP #3 and IP #35 and IP #17 and IP #3 and IP #36 and IP #2
02 Weight of Stationary Object,15 Force/Torque,IP #35 and IP #9 and IP #8 and IP #3 and IP #40 and IP #13
02 Weight of Stationary Object,16 Energy Used by Moving Object,IP #3 and IP #17 and IP #14 and IP #19 and IP #18 and IP #30
02 Weight of Stationary Object,17 Energy Used by Stationary Object,IP #12 and IP #13 and IP #1 and IP #28 and IP #19 and IP #3 and IP #35
02 Weight of Stationary Object,18 Power,IP #13 and IP #35 and IP #19 and IP #3 and IP #18 and IP #15
02 Weight of Stationary Object,19 Stress/Pressure,IP #35 and IP #8 and IP #3 and IP #13 and IP #40 and IP #17 and IP #4 and IP #12 and IP #5
02 Weight of Stationary Object,20 Strength,IP #35 and IP #31 and IP #8 and IP #40 and IP #17 and IP #4 and IP #29 and IP #13 and IP #5
02 Weight of Stationary Object,21 Stability,IP #15 and IP #5 and IP #17 and IP #30 and IP #4 and IP #31 and IP #12
02 Weight of Stationary Object,22 Temperature,IP #35 and IP #3 and IP #36 and IP #19 and IP #32 and IP #30 and IP #25
02 Weight of Stationary Object,23 Illumination Intensity,IP #19 and IP #35 and IP #24 and IP #32 and IP #31 and IP #7
02 Weight of Stationary Object,24 Function Efficiency,IP #35 and IP #31 and IP #7 and IP #3 and IP #13 and IP #40
02 Weight of Stationary Object,25 Loss of Substance,IP #13 and IP #14 and IP #5 and IP #3 and IP #17 and IP #12
02 Weight of Stationary Object,26 Loss of Time,IP #10 and IP #35 and IP #19 and IP #25 and IP #28 and IP #26 and IP #20
02 Weight of Stationary Object,27 Loss of Energy,IP #28 and IP #35 and IP #7 and IP #31 and IP #13 and IP #32 and IP #39
02 Weight of Stationary Object,28 Loss of Information,IP #10 and IP #15 and IP #35 and IP #3 and IP #32 and IP #7 and IP #26
02 Weight of Stationary Object,29 Noise,IP #14 and IP #35 and IP #31 and IP #1 and IP #9
02 Weight of Stationary Object,30 Harmful Emissions,IP #30 and IP #40 and IP #13 and IP #19 and IP #21 and IP #24
02 Weight of Stationary Object,31 Other Harmful Effects Generated by System,IP #40 and IP #3 and IP #39 and IP #2 and IP #31 and IP #28 and IP #8 and IP #15
02 Weight of Stationary Object,32 Adaptability/Versatility,IP #35 and IP #3 and IP #15 and IP #19 and IP #1 and IP #2 and IP #28 and IP #40
02 Weight of Stationary Object,33 Compatibility/ Connectability,IP #2 and IP #13 and IP #24 and IP #3 and IP #17 and IP #39
02 Weight of Stationary Object,34 Trainability/Operability/Controllability,IP #13 and IP #1 and IP #32 and IP #14 and IP #4 and IP #26 and IP #6
02 Weight of Stationary Object,35 Reliability/Robustness,IP #10 and IP #2 and IP #14 and IP #40 and IP #28 and IP #29 and IP #25
02 Weight of Stationary Object,36 Repairability,IP #2 and IP #17 and IP #13 and IP #27 and IP #11
02 Weight of Stationary Object,37 Security,IP #28 and IP #2 and IP #17 and IP #30 and IP #4 and IP #13 and IP #14
02 Weight of Stationary Object,38 Safety/Vulnerability,IP #40 and IP #9 and IP #31 and IP #3 and IP #7 and IP #14
02 Weight of Stationary Object,39 Aesthetics/Appearance,IP #7 and IP #31 and IP #3 and IP #4 and IP #32 and IP #1
02 Weight of Stationary Object,40 Other Harmful Effects Acting on System,IP #17 and IP #37 and IP #31 and IP #3 and IP #19 and IP #9 and IP #4 and IP #34
02 Weight of Stationary Object,41 Manufacturability,IP #35 and IP #8 and IP #9 and IP #1 and IP #10 and IP #28 and IP #3 and IP #40
02 Weight of Stationary Object,42 Manufacture Precision/Consistency,IP #10 and IP #35 and IP #17 and IP #29 and IP #7 and IP #16 and IP #25
02 Weight of Stationary Object,43 Automation,IP #2 and IP #26 and IP #30 and IP #12 and IP #23 and IP #13
02 Weight of Stationary Object,44 Productivity,IP #28 and IP #35 and IP #15 and IP #4 and IP #29 and IP #1 and IP #3 and IP #19 and IP #25
02 Weight of Stationary Object,45 System Complexity,IP #13 and IP #4 and IP #17 and IP #14 and IP #26 and IP #10 and IP #1 and IP #9
02 Weight of Stationary Object,46 Control Complexity,IP #17 and IP #25 and IP #13 and IP #19 and IP #10 and IP #3 and IP #2
02 Weight of Stationary Object,47 Ability to Detect/Measure,IP #17 and IP #25 and IP #37 and IP #32 and IP #28 and IP #15 and IP #18
02 Weight of Stationary Object,48 Measurement Precision,IP #26 and IP #28 and IP #18 and IP #37 and IP #4 and IP #3
03 Length/Angle of Moving Object,01 Weight of Moving Object,IP #31 and IP #4 and IP #17 and IP #15 and IP #34 and IP #8 and IP #29 and IP #30 and IP #1
03 Length/Angle of Moving Object,02 Weight of Stationary Object,IP #1 and IP #2 and IP #17 and IP #15 and IP #30 and IP #4 and IP #5
03 Length/Angle of Moving Object,03 Length/Angle of Moving Object,see physical contradiction
03 Length/Angle of Moving Object,04 Length/Angle of Stationary Object,IP #1 and IP #17 and IP #15 and IP #24 and IP #13 and IP #30
03 Length/Angle of Moving Object,05 Area of Moving Object,IP #15 and IP #17 and IP #4 and IP #14 and IP #1 and IP #3 and IP #29 and IP #30 and IP #35
03 Length/Angle of Moving Object,06 Area of Stationary Object,IP #17 and IP #3 and IP #7 and IP #15 and IP #3 and IP #1 and IP #4 and IP #29
03 Length/Angle of Moving Object,07 Volume of Moving Object,IP #17 and IP #14 and IP #7 and IP #4 and IP #3 and IP #35 and IP #13 and IP #1 and IP #30 and IP #2
03 Length/Angle of Moving Object,08 Volume of Stationary Object,IP #17 and IP #31 and IP #3 and IP #19 and IP #14 and IP #4 and IP #30
03 Length/Angle of Moving Object,09 Shape,IP #1 and IP #35 and IP #29 and IP #3 and IP #30 and IP #10 and IP #17 and IP #14 and IP #12
03 Length/Angle of Moving Object,10 Amount of Substance,IP #35 and IP #3 and IP #4 and IP #1 and IP #40 and IP #30 and IP #31
03 Length/Angle of Moving Object,11 Amount of Information,IP #28 and IP #1 and IP #10 and IP #32 and IP #17 and IP #13 and IP #15
03 Length/Angle of Moving Object,12 Duration of Action of Moving Object,IP #19 and IP #17 and IP #10 and IP #1 and IP #2 and IP #3 and IP #28
03 Length/Angle of Moving Object,13 Duration of Action of Stationary Object,IP #10 and IP #35 and IP #1 and IP #3 and IP #19 and IP #2
03 Length/Angle of Moving Object,14 Speed,IP #14 and IP #1 and IP #13 and IP #4 and IP #17 and IP #12 and IP #4 and IP #3
03 Length/Angle of Moving Object,15 Force/Torque,IP #17 and IP #4 and IP #14 and IP #10 and IP #7 and IP #12 and IP #2
03 Length/Angle of Moving Object,16 Energy Used by Moving Object,IP #1 and IP #35 and IP #17 and IP #14 and IP #3 and IP #25 and IP #8 and IP #24 and IP #22
03 Length/Angle of Moving Object,17 Energy Used by Stationary Object,IP #35 and IP #17 and IP #14 and IP #3 and IP #1 and IP #24 and IP #15
03 Length/Angle of Moving Object,18 Power,IP #1 and IP #35 and IP #14 and IP #3 and IP #38 and IP #29 and IP #19 and IP #4
03 Length/Angle of Moving Object,19 Stress/Pressure,IP #1 and IP #35 and IP #3 and IP #14 and IP #12 and IP #8 and IP #17 and IP #29
03 Length/Angle of Moving Object,20 Strength,IP #35 and IP #29 and IP #40 and IP #8 and IP #34 and IP #3 and IP #31 and IP #15 and IP #30
03 Length/Angle of Moving Object,21 Stability,IP #1 and IP #15 and IP #3 and IP #14 and IP #17 and IP #34 and IP #12 and IP #35 and IP #40
03 Length/Angle of Moving Object,22 Temperature,IP #10 and IP #15 and IP #35 and IP #19 and IP #3 and IP #36
03 Length/Angle of Moving Object,23 Illumination Intensity,IP #19 and IP #1 and IP #32 and IP #5 and IP #24
03 Length/Angle of Moving Object,24 Function Efficiency,IP #17 and IP #35 and IP #19 and IP #3 and IP #4 and IP #1 and IP #13 and IP #28
03 Length/Angle of Moving Object,25 Loss of Substance,IP #1 and IP #4 and IP #35 and IP #29 and IP #28 and IP #3 and IP #10 and IP #23
03 Length/Angle of Moving Object,26 Loss of Time,IP #15 and IP #19 and IP #2 and IP #10 and IP #29 and IP #4 and IP #3
03 Length/Angle of Moving Object,27 Loss of Energy,IP #2 and IP #35 and IP #14 and IP #1 and IP #7 and IP #3 and IP #39 and IP #19
03 Length/Angle of Moving Object,28 Loss of Information,IP #1 and IP #24 and IP #25 and IP #2 and IP #3 and IP #32
03 Length/Angle of Moving Object,29 Noise,IP #17 and IP #3 and IP #13 and IP #1 and IP #19 and IP #28 and IP #35
03 Length/Angle of Moving Object,30 Harmful Emissions,IP #10 and IP #35 and IP #38 and IP #7 and IP #19 and IP #24 and IP #30
03 Length/Angle of Moving Object,31 Other Harmful Effects Generated by System,IP #3 and IP #17 and IP #15 and IP #2 and IP #19 and IP #25 and IP #33 and IP #39
03 Length/Angle of Moving Object,32 Adaptability/Versatility,IP #15 and IP #1 and IP #14 and IP #17 and IP #25 and IP #16 and IP #13 and IP #3 and IP #19
03 Length/Angle of Moving Object,33 Compatibility/ Connectability,IP #23 and IP #28 and IP #17 and IP #3 and IP #10 and IP #1
03 Length/Angle of Moving Object,34 Trainability/Operability/Controllability,IP #15 and IP #29 and IP #35 and IP #10 and IP #1 and IP #4 and IP #7 and IP #13
03 Length/Angle of Moving Object,35 Reliability/Robustness,IP #35 and IP #10 and IP #14 and IP #17 and IP #40 and IP #3 and IP #29 and IP #2 and IP #1
03 Length/Angle of Moving Object,36 Repairability,IP #1 and IP #28 and IP #10 and IP #17 and IP #27 and IP #2 and IP #13 and IP #25
03 Length/Angle of Moving Object,37 Security,IP #1 and IP #28 and IP #35 and IP #19 and IP #5 and IP #2
03 Length/Angle of Moving Object,38 Safety/Vulnerability,IP #3 and IP #14 and IP #35 and IP #17 and IP #29 and IP #28 and IP #19 and IP #30
03 Length/Angle of Moving Object,39 Aesthetics/Appearance,IP #17 and IP #14 and IP #3 and IP #32 and IP #4 and IP #5
03 Length/Angle of Moving Object,40 Other Harmful Effects Acting on System,IP #1 and IP #17 and IP #15 and IP #25 and IP #24 and IP #10 and IP #35 and IP #28 and IP #19
03 Length/Angle of Moving Object,41 Manufacturability,IP #1 and IP #24 and IP #4 and IP #10 and IP #29 and IP #37 and IP #25
03 Length/Angle of Moving Object,42 Manufacture Precision/Consistency,IP #10 and IP #28 and IP #1 and IP #25 and IP #37 and IP #29 and IP #35 and IP #2
03 Length/Angle of Moving Object,43 Automation,IP #17 and IP #3 and IP #24 and IP #26 and IP #5 and IP #16 and IP #25 and IP #2
03 Length/Angle of Moving Object,44 Productivity,IP #17 and IP #4 and IP #14 and IP #28 and IP #1 and IP #29 and IP #25 and IP #3 and IP #5
03 Length/Angle of Moving Object,45 System Complexity,IP #1 and IP #19 and IP #24 and IP #26 and IP #2 and IP #5 and IP #28 and IP #29
03 Length/Angle of Moving Object,46 Control Complexity,IP #35 and IP #1 and IP #3 and IP #28 and IP #25 and IP #13 and IP #5 and IP #2
03 Length/Angle of Moving Object,47 Ability to Detect/Measure,IP #26 and IP #35 and IP #1 and IP #24 and IP #32 and IP #40
03 Length/Angle of Moving Object,48 Measurement Precision,IP #10 and IP #32 and IP #1 and IP #37 and IP #28 and IP #39
04 Length/Angle of Stationary Object,01 Weight of Moving Object,IP #35 and IP #30 and IP #31 and IP #8 and IP #28 and IP #29 and IP #40 and IP #1
04 Length/Angle of Stationary Object,02 Weight of Stationary Object,IP #35 and IP #31 and IP #40 and IP #2 and IP #28 and IP #29 and IP #4 and IP #3
04 Length/Angle of Stationary Object,03 Length/Angle of Moving Object,IP #3 and IP #1 and IP #4 and IP #19 and IP #17 and IP #35
04 Length/Angle of Stationary Object,04 Length/Angle of Stationary Object,see physical contradiction
04 Length/Angle of Stationary Object,05 Area of Moving Object,IP #3 and IP #4 and IP #19 and IP #17 and IP #35 and IP #1
04 Length/Angle of Stationary Object,06 Area of Stationary Object,IP #17 and IP #40 and IP #35 and IP #10 and IP #31 and IP #14 and IP #4 and IP #7
04 Length/Angle of Stationary Object,07 Volume of Moving Object,IP #35 and IP #30 and IP #14 and IP #7 and IP #15 and IP #17
04 Length/Angle of Stationary Object,08 Volume of Stationary Object,IP #14 and IP #35 and IP #17 and IP #2 and IP #4 and IP #7 and IP #3
04 Length/Angle of Stationary Object,09 Shape,IP #13 and IP #14 and IP #15 and IP #7 and IP #17 and IP #3 and IP #30
04 Length/Angle of Stationary Object,10 Amount of Substance,IP #4 and IP #3 and IP #31 and IP #25 and IP #17 and IP #14
04 Length/Angle of Stationary Object,11 Amount of Information,IP #7 and IP #17 and IP #2 and IP #22 and IP #28 and IP #13
04 Length/Angle of Stationary Object,12 Duration of Action of Moving Object,IP #35 and IP #3 and IP #29 and IP #2 and IP #31 and IP #7 and IP #19
04 Length/Angle of Stationary Object,13 Duration of Action of Stationary Object,IP #35 and IP #10 and IP #1 and IP #3 and IP #2 and IP #25 and IP #4 and IP #5
04 Length/Angle of Stationary Object,14 Speed,IP #3 and IP #14 and IP #4 and IP #13 and IP #18 and IP #31 and IP #9
04 Length/Angle of Stationary Object,15 Force/Torque,IP #10 and IP #17 and IP #35 and IP #3 and IP #28 and IP #4 and IP #12
04 Length/Angle of Stationary Object,16 Energy Used by Moving Object,IP #35 and IP #19 and IP #24 and IP #28 and IP #21 and IP #30 and IP #13
04 Length/Angle of Stationary Object,17 Energy Used by Stationary Object,IP #35 and IP #3 and IP #30 and IP #31 and IP #12 and IP #14 and IP #4 and IP #13
04 Length/Angle of Stationary Object,18 Power,IP #17 and IP #19 and IP #35 and IP #12 and IP #13 and IP #8 and IP #3 and IP #31
04 Length/Angle of Stationary Object,19 Stress/Pressure,IP #35 and IP #17 and IP #3 and IP #14 and IP #5 and IP #7 and IP #30
04 Length/Angle of Stationary Object,20 Strength,IP #14 and IP #40 and IP #3 and IP #35 and IP #15 and IP #17 and IP #30
04 Length/Angle of Stationary Object,21 Stability,IP #35 and IP #3 and IP #15 and IP #17 and IP #4 and IP #14 and IP #37 and IP #39
04 Length/Angle of Stationary Object,22 Temperature,IP #35 and IP #36 and IP #10 and IP #24 and IP #32 and IP #3 and IP #15 and IP #17
04 Length/Angle of Stationary Object,23 Illumination Intensity,IP #35 and IP #24 and IP #28 and IP #3 and IP #25 and IP #1 and IP #14
04 Length/Angle of Stationary Object,24 Function Efficiency,IP #3 and IP #35 and IP #28 and IP #30 and IP #15 and IP #24 and IP #19
04 Length/Angle of Stationary Object,25 Loss of Substance,IP #28 and IP #24 and IP #35 and IP #12 and IP #10 and IP #3 and IP #4 and IP #17
04 Length/Angle of Stationary Object,26 Loss of Time,IP #14 and IP #5 and IP #30 and IP #28 and IP #29 and IP #10 and IP #17 and IP #37 and IP #18
04 Length/Angle of Stationary Object,27 Loss of Energy,IP #1 and IP #17 and IP #28 and IP #3 and IP #6 and IP #19 and IP #14 and IP #4
04 Length/Angle of Stationary Object,28 Loss of Information,IP #28 and IP #24 and IP #13 and IP #3 and IP #26 and IP #14 and IP #15 and IP #17
04 Length/Angle of Stationary Object,29 Noise,IP #14 and IP #1 and IP #3 and IP #35 and IP #17 and IP #31
04 Length/Angle of Stationary Object,30 Harmful Emissions,IP #1 and IP #3 and IP #21 and IP #18 and IP #13 and IP #14 and IP #2 and IP #4
04 Length/Angle of Stationary Object,31 Other Harmful Effects Generated by System,IP #35 and IP #17 and IP #11 and IP #5 and IP #18 and IP #12 and IP #31 and IP #2
04 Length/Angle of Stationary Object,32 Adaptability/Versatility,IP #1 and IP #19 and IP #35 and IP #15 and IP #17 and IP #31 and IP #24 and IP #14
04 Length/Angle of Stationary Object,33 Compatibility/ Connectability,IP #1 and IP #7 and IP #17 and IP #3 and IP #31 and IP #35
04 Length/Angle of Stationary Object,34 Trainability/Operability/Controllability,IP #10 and IP #25 and IP #26 and IP #2 and IP #12 and IP #37
04 Length/Angle of Stationary Object,35 Reliability/Robustness,IP #35 and IP #17 and IP #31 and IP #29 and IP #28 and IP #12 and IP #40
04 Length/Angle of Stationary Object,36 Repairability,IP #3 and IP #10 and IP #17 and IP #1 and IP #37 and IP #35 and IP #16
04 Length/Angle of Stationary Object,37 Security,IP #17 and IP #7 and IP #3 and IP #28 and IP #13 and IP #24
04 Length/Angle of Stationary Object,38 Safety/Vulnerability,IP #17 and IP #14 and IP #30 and IP #35 and IP #31 and IP #39 and IP #7 and IP #24
04 Length/Angle of Stationary Object,39 Aesthetics/Appearance,IP #3 and IP #17 and IP #32 and IP #7 and IP #35 and IP #22
04 Length/Angle of Stationary Object,40 Other Harmful Effects Acting on System,IP #1 and IP #18 and IP #9 and IP #16 and IP #35 and IP #40 and IP #39
04 Length/Angle of Stationary Object,41 Manufacturability,IP #17 and IP #3 and IP #15 and IP #13 and IP #4 and IP #31 and IP #10
04 Length/Angle of Stationary Object,42 Manufacture Precision/Consistency,IP #30 and IP #32 and IP #10 and IP #3 and IP #2 and IP #29 and IP #28 and IP #24
04 Length/Angle of Stationary Object,43 Automation,IP #10 and IP #24 and IP #15 and IP #13 and IP #35 and IP #37 and IP #16 and IP #17
04 Length/Angle of Stationary Object,44 Productivity,IP #3 and IP #14 and IP #7 and IP #30 and IP #37 and IP #35 and IP #16
04 Length/Angle of Stationary Object,45 System Complexity,IP #28 and IP #2 and IP #5 and IP #26 and IP #35 and IP #13
04 Length/Angle of Stationary Object,46 Control Complexity,IP #25 and IP #10 and IP #37 and IP #24 and IP #28 and IP #3
04 Length/Angle of Stationary Object,47 Ability to Detect/Measure,IP #28 and IP #32 and IP #26 and IP #3 and IP #25 and IP #2
04 Length/Angle of Stationary Object,48 Measurement Precision,IP #28 and IP #10 and IP #26 and IP #32 and IP #3 and IP #30 and IP #24
05 Area of Moving Object,01 Weight of Moving Object,IP #31 and IP #17 and IP #3 and IP #4 and IP #1 and IP #18 and IP #40 and IP #14 and IP #30
05 Area of Moving Object,02 Weight of Stationary Object,IP #17 and IP #15 and IP #3 and IP #31 and IP #2 and IP #4 and IP #29 and IP #1
05 Area of Moving Object,03 Length/Angle of Moving Object,IP #14 and IP #15 and IP #4 and IP #18 and IP #1 and IP #17 and IP #30 and IP #13
05 Area of Moving Object,04 Length/Angle of Stationary Object,IP #14 and IP #17 and IP #15 and IP #4 and IP #13
05 Area of Moving Object,05 Area of Moving Object,see physical contradiction
05 Area of Moving Object,06 Area of Stationary Object,IP #17 and IP #1 and IP #4 and IP #3 and IP #24 and IP #5 and IP #2
05 Area of Moving Object,07 Volume of Moving Object,IP #14 and IP #17 and IP #7 and IP #4 and IP #13 and IP #1 and IP #31 and IP #3 and IP #18
05 Area of Moving Object,08 Volume of Stationary Object,IP #14 and IP #17 and IP #7 and IP #13 and IP #4 and IP #31 and IP #3 and IP #1 and IP #18
05 Area of Moving Object,09 Shape,IP #35 and IP #4 and IP #14 and IP #17 and IP #15 and IP #34 and IP #29 and IP #13 and IP #1
05 Area of Moving Object,10 Amount of Substance,IP #31 and IP #30 and IP #3 and IP #13 and IP #6 and IP #29 and IP #1 and IP #5 and IP #19
05 Area of Moving Object,11 Amount of Information,IP #17 and IP #15 and IP #14 and IP #32 and IP #1 and IP #3
05 Area of Moving Object,12 Duration of Action of Moving Object,IP #3 and IP #19 and IP #18 and IP #1 and IP #6 and IP #5 and IP #2
05 Area of Moving Object,13 Duration of Action of Stationary Object,IP #1 and IP #3 and IP #19 and IP #2 and IP #6 and IP #5
05 Area of Moving Object,14 Speed,IP #14 and IP #3 and IP #34 and IP #29 and IP #28 and IP #30 and IP #13
05 Area of Moving Object,15 Force/Torque,IP #3 and IP #2 and IP #35 and IP #19 and IP #30 and IP #17 and IP #1
05 Area of Moving Object,16 Energy Used by Moving Object,IP #19 and IP #3 and IP #17 and IP #1 and IP #36 and IP #4 and IP #32 and IP #5 and IP #38
