Improving Parameter,Worsening Parameter,Inventive Principles
02 Weight of stationary object,03 Length of moving object,no preferred inventive principles
02 Weight of stationary object,04 Length of stationary object,IP #10 and IP #1 and IP #29 and IP #35
02 Weight of stationary object,05 Area of moving object,no preferred inventive principles
02 Weight of stationary object,06 Area of stationary object,IP #35 and IP #30 and IP #13 and IP #2
02 Weight of stationary object,07 Volume of moving object,no preferred inventive principles
02 Weight of stationary object,08 Volume of stationary object,IP #5 and IP #35 and IP #14 and IP #2
02 Weight of stationary object,09 Speed,no preferred inventive principles
02 Weight of stationary object,10 Force (Intensity),IP #8 and IP #10 and IP #19 and IP #35
02 Weight of stationary object,11 Stress or pressure,IP #13 and IP #29 and IP #10 and IP #18
02 Weight of stationary object,12 Shape,IP #13 and IP #10 and IP #29 and IP #14
02 Weight of stationary object,13 Stability of the object composition,IP #26 and IP #39 and IP #1 and IP #40
02 Weight of stationary object,14 Strength,IP #28 and IP #2 and IP #10 and IP #27
02 Weight of stationary object,15 Duration of action of moving object,no preferred inventive principles
02 Weight of stationary object,16 Duration of action of stationary object,IP #2 and IP #27 and IP #19 and IP #6
02 Weight of stationary object,17 Temperature,IP #28 and IP #19 and IP #32 and IP #22
02 Weight of stationary object,18 Illumination intensity,IP #19 and IP #32 and IP #35
02 Weight of stationary object,19 Use of energy by moving object,no preferred inventive principles
02 Weight of stationary object,20 Use of energy by stationary object,IP #18 and IP #19 and IP #28 and IP #1
02 Weight of stationary object,21 Power,IP #15 and IP #19 and IP #18 and IP #22
02 Weight of stationary object,22 Loss of energy,IP #18 and IP #19 and IP #28 and IP #15
02 Weight of stationary object,23 Loss of substance,IP #5 and IP #8 and IP #13 and IP #30
02 Weight of stationary object,24 Loss of information,IP #10 and IP #15 and IP #35
02 Weight of stationary object,25 Loss of time,IP #10 and IP #20 and IP #35 and IP #26
02 Weight of stationary object,26 Quantity of substance,IP #19 and IP #6 and IP #18 and IP #26
02 Weight of stationary object,27 Reliability,IP #10 and IP #28 and IP #8 and IP #3
02 Weight of stationary object,28 Measurement accuracy,IP #18 and IP #26 and IP #28
02 Weight of stationary object,29 Manufacturing precision,IP #10 and IP #1 and IP #35 and IP #17
02 Weight of stationary object,30 Object-affected harmful factor,IP #2 and IP #19 and IP #22 and IP #37
02 Weight of stationary object,31 Object-generated harmful factor,IP #35 and IP #22 and IP #1 and IP #39
02 Weight of stationary object,32 Ease of manufacture,IP #28 and IP #1 and IP #9
02 Weight of stationary object,33 Ease of operation,IP #6 and IP #13 and IP #1 and IP #32
02 Weight of stationary object,34 Ease of repair,IP #2 and IP #27 and IP #28 and IP #11
02 Weight of stationary object,35 Adaptability or Versatility,IP #19 and IP #15 and IP #29
02 Weight of stationary object,36 Device complexity,IP #1 and IP #10 and IP #26 and IP #39
02 Weight of stationary object,37 Difficulty of detection,IP #25 and IP #28 and IP #17 and IP #15
02 Weight of stationary object,38 Extent of automation,IP #2 and IP #26 and IP #35
02 Weight of stationary object,39 Productivity,IP #1 and IP #28 and IP #15 and IP #35
03 Length of moving object,01 Weight of moving object,IP #8 and IP #15 and IP #29 and IP #34
03 Length of moving object,02 Weight of stationary object,no preferred inventive principles
03 Length of moving object,03 Length of moving object,see physical contradiction
03 Length of moving object,04 Length of stationary object,no preferred inventive principles
03 Length of moving object,05 Area of moving object,IP #15 and IP #17 and IP #4
03 Length of moving object,06 Area of stationary object,no preferred inventive principles
03 Length of moving object,07 Volume of moving object,IP #7 and IP #17 and IP #4 and IP #35
03 Length of moving object,08 Volume of stationary object,no preferred inventive principles
03 Length of moving object,09 Speed,IP #13 and IP #4 and IP #8
03 Length of moving object,10 Force (Intensity),IP #17 and IP #10 and IP #4
03 Length of moving object,11 Stress or pressure,IP #1 and IP #8 and IP #35
03 Length of moving object,12 Shape,IP #1 and IP #8 and IP #10 and IP #29
03 Length of moving object,13 Stability of the object composition,IP #1 and IP #8 and IP #15 and IP #34
03 Length of moving object,14 Strength,IP #8 and IP #35 and IP #29 and IP #34
03 Length of moving object,15 Duration of action of moving object,IP #19
03 Length of moving object,16 Duration of action of stationary object,no preferred inventive principles
03 Length of moving object,17 Temperature,IP #10 and IP #15 and IP #19
03 Length of moving object,18 Illumination intensity,IP #32
03 Length of moving object,19 Use of energy by moving object,IP #8 and IP #35 and IP #24
03 Length of moving object,20 Use of energy by stationary object,no preferred inventive principles
03 Length of moving object,21 Power,IP #1 and IP #35
03 Length of moving object,22 Loss of energy,IP #7 and IP #2 and IP #35 and IP #39
03 Length of moving object,23 Loss of substance,IP #4 and IP #29 and IP #23 and IP #10
03 Length of moving object,24 Loss of information,IP #1 and IP #24
03 Length of moving object,25 Loss of time,IP #15 and IP #2 and IP #29
03 Length of moving object,26 Quantity of substance,IP #29 and IP #35
03 Length of moving object,27 Reliability,IP #10 and IP #14 and IP #29 and IP #40
03 Length of moving object,28 Measurement accuracy,IP #28 and IP #32 and IP #4
03 Length of moving object,29 Manufacturing precision,IP #10 and IP #28 and IP #29 and IP #37
03 Length of moving object,30 Object-affected harmful factor,IP #1 and IP #15 and IP #17 and IP #24
03 Length of moving object,31 Object-generated harmful factor,IP #17 and IP #15
03 Length of moving object,32 Ease of manufacture,IP #1 and IP #29 and IP #17
03 Length of moving object,33 Ease of operation,IP #15 and IP #29 and IP #35 and IP #4
03 Length of moving object,34 Ease of repair,IP #1 and IP #28 and IP #10
03 Length of moving object,35 Adaptability or Versatility,IP #14 and IP #15 and IP #1 and IP #16
03 Length of moving object,36 Device complexity,IP #1 and IP #19 and IP #26 and IP #24
03 Length of moving object,37 Difficulty of detection,IP #35 and IP #1 and IP #26 and IP #24
03 Length of moving object,38 Extent of automation,IP #17 and IP #24 and IP #26 and IP #16
03 Length of moving object,39 Productivity,IP #14 and IP #4 and IP #28 and IP #29
04 Length of stationary object,01 Weight of moving object,no preferred inventive principles
04 Length of stationary object,02 Weight of stationary object,IP #35 and IP #28 and IP #40 and IP #29
04 Length of stationary object,03 Length of moving object,no preferred inventive principles
04 Length of stationary object,04 Length of stationary object,see physical contradiction
04 Length of stationary object,05 Area of moving object,no preferred inventive principles
04 Length of stationary object,06 Area of stationary object,IP #17 and IP #7 and IP #10 and IP #40
04 Length of stationary object,07 Volume of moving object,no preferred inventive principles
04 Length of stationary object,08 Volume of stationary object,IP #35 and IP #8 and IP #2 andIP #14
04 Length of stationary object,09 Speed,no preferred inventive principles
04 Length of stationary object,10 Force (Intensity),IP #28 and IP #10
04 Length of stationary object,11 Stress or pressure,IP #1 and IP #14 and IP #35
04 Length of stationary object,12 Shape,IP #13 and IP #14 and IP #15 and IP #7
04 Length of stationary object,13 Stability of the object composition,IP #39 and IP #37 and IP #35
04 Length of stationary object,14 Strength,IP #15 and IP #14 and IP #28 and IP #26
04 Length of stationary object,15 Duration of action of moving object,no preferred inventive principles
04 Length of stationary object,16 Duration of action of stationary object,IP #1 and IP #10 and IP #35
04 Length of stationary object,17 Temperature,IP #3 and IP #35 and IP #38 and IP #18
04 Length of stationary object,18 Illumination intensity,IP #3 and IP #25
04 Length of stationary object,19 Use of energy by moving object,no preferred inventive principles
04 Length of stationary object,20 Use of energy by stationary object,no preferred inventive principles
04 Length of stationary object,21 Power,IP #12 and IP #8
04 Length of stationary object,22 Loss of energy,IP #6 and IP #28
04 Length of stationary object,23 Loss of substance,IP #10 and IP #28 and IP #24 and IP #35
04 Length of stationary object,24 Loss of information,IP #24 and IP #26
04 Length of stationary object,25 Loss of time,IP #30 and IP #29 and IP #14
04 Length of stationary object,26 Quantity of substance,no preferred inventive principles
04 Length of stationary object,27 Reliability,IP #15 and IP #29 and IP #28
04 Length of stationary object,28 Measurement accuracy,IP #32 and IP #28 and IP #3
04 Length of stationary object,29 Manufacturing precision,IP #2 and IP #32 and IP #10
04 Length of stationary object,30 Object-affected harmful factor,IP #1 and IP #18
04 Length of stationary object,31 Object-generated harmful factor,no preferred inventive principles
04 Length of stationary object,32 Ease of manufacture,IP #15 and IP #17 and IP #27
04 Length of stationary object,33 Ease of operation,IP #2 and IP #25
04 Length of stationary object,34 Ease of repair,IP #3
04 Length of stationary object,35 Adaptability or Versatility,IP #1 and IP #35
04 Length of stationary object,36 Device complexity,IP #1 and IP #26
04 Length of stationary object,37 Difficulty of detection,IP #26
04 Length of stationary object,38 Extent of automation,no preferred inventive principles
04 Length of stationary object,39 Productivity,IP #30 and IP #14 and IP #7 and IP #26
05 Area of moving object,01 Weight of moving object,IP #2 and IP #17 and IP #29 and IP #4
05 Area of moving object,02 Weight of stationary object,no preferred inventive principles
05 Area of moving object,03 Length of moving object,IP #14 and IP #15 and IP #18 and IP #4
05 Area of moving object,04 Length of stationary object,no preferred inventive principles
05 Area of moving object,05 Area of moving object,see physical contradiction
05 Area of moving object,06 Area of stationary object,no preferred inventive principles
05 Area of moving object,07 Volume of moving object,IP #7 and IP #14 and IP #17 and IP #4
05 Area of moving object,08 Volume of stationary object,no preferred inventive principles
05 Area of moving object,09 Speed,IP #29 and IP #30 and IP #4 and IP #34
05 Area of moving object,10 Force (Intensity),IP #19 and IP #30 and IP #35 and IP #2
05 Area of moving object,11 Stress or pressure,IP #10 and IP #15 and IP #36 and IP #28
05 Area of moving object,12 Shape,IP #5 and IP #34 and IP #29 and IP #4
05 Area of moving object,13 Stability of the object composition,IP #11 and IP #2 and IP #13 and IP #39
05 Area of moving object,14 Strength,IP #3 and IP #15 and IP #40 and IP #14
05 Area of moving object,15 Duration of action of moving object,IP #6 and IP #3
05 Area of moving object,16 Duration of action of stationary object,no preferred inventive principles
05 Area of moving object,17 Temperature,IP #2 and IP #15 and IP #16
05 Area of moving object,18 Illumination intensity,IP #15 and IP #32 and IP #19 and IP #13
05 Area of moving object,19 Use of energy by moving object,IP #19 and IP #32
05 Area of moving object,20 Use of energy by stationary object,no preferred inventive principles
05 Area of moving object,21 Power,IP #19 and IP #10 and IP #32 and IP #18
05 Area of moving object,22 Loss of energy,IP #15 and IP #17 and IP #30 and IP #26
05 Area of moving object,23 Loss of substance,IP #10 and IP #35 and IP #2 and IP #39
05 Area of moving object,24 Loss of information,IP #30 and IP #26
05 Area of moving object,25 Loss of time,IP #26 and IP #4
05 Area of moving object,26 Quantity of substance,IP #29 and IP #30 and IP #6 and IP #13
05 Area of moving object,27 Reliability,IP #29 and IP #9
05 Area of moving object,28 Measurement accuracy,IP #26 and IP #28 and IP #32 and IP #3
05 Area of moving object,29 Manufacturing precision,IP #2 and IP #32
05 Area of moving object,30 Object-affected harmful factor,IP #22 and IP #33 and IP #28 and IP #1
05 Area of moving object,31 Object-generated harmful factor,IP #17 and IP #2 and IP #18 and IP #39
05 Area of moving object,32 Ease of manufacture,IP #13 and IP #1 and IP #26 and IP #24
05 Area of moving object,33 Ease of operation,IP #15 and IP #17 and IP #13 and IP #16
05 Area of moving object,34 Ease of repair,IP #15 and IP #13 and IP #10 and IP #1
05 Area of moving object,35 Adaptability or Versatility,IP #15 and IP #30
05 Area of moving object,36 Device complexity,IP #14 and IP #1 and IP #13
05 Area of moving object,37 Difficulty of detection,IP #2 and IP #36 and IP #26 and IP #18
05 Area of moving object,38 Extent of automation,IP #14 and IP #30 and IP #28 and IP #23
05 Area of moving object,39 Productivity,IP #10 and IP #26 and IP #34 and IP #2
06 Area of stationary object,01 Weight of moving object,no preferred inventive principles
06 Area of stationary object,02 Weight of stationary object,IP #30 and IP #2 and IP #14 and IP #18
06 Area of stationary object,03 Length of moving object,no preferred inventive principles
06 Area of stationary object,04 Length of stationary object,IP #26 and IP #7 and IP #9 and IP #39
06 Area of stationary object,05 Area of moving object,no preferred inventive principles
06 Area of stationary object,06 Area of stationary object,see physical contradiction
06 Area of stationary object,07 Volume of moving object,no preferred inventive principles
06 Area of stationary object,08 Volume of stationary object,no preferred inventive principles
06 Area of stationary object,09 Speed,no preferred inventive principles
06 Area of stationary object,10 Force (Intensity),IP #1 and IP #18 and IP #35 and IP #36
06 Area of stationary object,11 Stress or pressure,IP #10 and IP #15 and IP #36 and IP #37
06 Area of stationary object,12 Shape,no preferred inventive principles
06 Area of stationary object,13 Stability of the object composition,IP #2 and IP #38
06 Area of stationary object,14 Strength,IP #40
06 Area of stationary object,15 Duration of action of moving object,no preferred inventive principles
06 Area of stationary object,16 Duration of action of stationary object,IP #2 and IP #10 and IP #19 and IP #30
06 Area of stationary object,17 Temperature,IP #35 and IP #39 and IP #38
06 Area of stationary object,18 Illumination intensity,no preferred inventive principles
06 Area of stationary object,19 Use of energy by moving object,no preferred inventive principles
06 Area of stationary object,20 Use of energy by stationary object,no preferred inventive principles
06 Area of stationary object,21 Power,IP #17 and IP #32
06 Area of stationary object,22 Loss of energy,IP #17 and IP #7 and IP #30
06 Area of stationary object,23 Loss of substance,IP #10 and IP #14 and IP #18 and IP #39
06 Area of stationary object,24 Loss of information,IP #30 and IP #16
06 Area of stationary object,25 Loss of time,IP #10 and IP #35 and IP #4 and IP #18
06 Area of stationary object,26 Quantity of substance,IP #2 and IP #18 and IP #40 and IP #4
06 Area of stationary object,27 Reliability,IP #32 and IP #35 and IP #40 and IP #4
06 Area of stationary object,28 Measurement accuracy,IP #26 and IP #28 and IP #32 and IP #3
06 Area of stationary object,29 Manufacturing precision,IP #2 and IP #29 and IP #18 and IP #36
06 Area of stationary object,30 Object-affected harmful factor,IP #27 and IP #2 and IP #39 and IP #35
06 Area of stationary object,31 Object-generated harmful factor,IP #22 and IP #1 and IP #40
06 Area of stationary object,32 Ease of manufacture,IP #40 and IP #16
06 Area of stationary object,33 Ease of operation,IP #16 and IP #4
06 Area of stationary object,34 Ease of repair,IP #16
06 Area of stationary object,35 Adaptability or Versatility,IP #15 and IP #16
06 Area of stationary object,36 Device complexity,IP #1 and IP #18 and IP #36
06 Area of stationary object,37 Difficulty of detection,IP #2 and IP #35 and IP #30 and IP #18
06 Area of stationary object,38 Extent of automation,IP #23
06 Area of stationary object,39 Productivity,IP #10 and IP #15 and IP #17 and IP #7
07 Volume of moving object,01 Weight of moving object,IP #2 and IP #26 and IP #29 and IP #40
07 Volume of moving object,02 Weight of stationary object,no preferred inventive principles
07 Volume of moving object,03 Length of moving object,IP #1 and IP #7 and IP #4 and IP #35
07 Volume of moving object,04 Length of stationary object,no preferred inventive principles
07 Volume of moving object,05 Area of moving object,IP #1 and IP #7 and IP #4 and IP #17
07 Volume of moving object,06 Area of stationary object,no preferred inventive principles
07 Volume of moving object,07 Volume of moving object,see physical contradiction
07 Volume of moving object,08 Volume of stationary object,no preferred inventive principles
07 Volume of moving object,09 Speed,IP #29 and IP #4 and IP #38 and IP #34
07 Volume of moving object,10 Force (Intensity),IP #15 and IP #35 and IP #36 and IP #37
07 Volume of moving object,11 Stress or pressure,IP #6 and IP #35 and IP #36 and IP #37
07 Volume of moving object,12 Shape,IP #1 and IP #15 and IP #29 and IP #4
07 Volume of moving object,13 Stability of the object composition,IP #28 and IP #10 and IP #1 and IP #39
07 Volume of moving object,14 Strength,IP #9 and IP #14 and IP #15 and IP #7
07 Volume of moving object,15 Duration of action of moving object,IP #6 and IP #35 and IP #4
07 Volume of moving object,16 Duration of action of stationary object,no preferred inventive principles
07 Volume of moving object,17 Temperature,IP #34 and IP #39 and IP #10 and IP #18
07 Volume of moving object,18 Illumination intensity,IP #2 and IP #13 and IP #10
07 Volume of moving object,19 Use of energy by moving object,IP #35
07 Volume of moving object,20 Use of energy by stationary object,no preferred inventive principles
07 Volume of moving object,21 Power,IP #35 and IP #6 and IP #13 and IP #18
07 Volume of moving object,22 Loss of energy,IP #7 and IP #15 and IP #13 and IP #16
07 Volume of moving object,23 Loss of substance,IP #36 and IP #39 and IP #34 and IP #10
07 Volume of moving object,24 Loss of information,IP #2 and IP #22
07 Volume of moving object,25 Loss of time,IP #2 and IP #6 and IP #34 and IP #10
07 Volume of moving object,26 Quantity of substance,IP #29 and IP #30 and IP #7
07 Volume of moving object,27 Reliability,IP #14 and IP #1 and IP #40 and IP #11
07 Volume of moving object,28 Measurement accuracy,IP #26 and IP #28
07 Volume of moving object,29 Manufacturing precision,IP #25 and IP #28 and IP #2 and IP #16
07 Volume of moving object,30 Object-affected harmful factor,IP #22 and IP #21 and IP #27 and IP #35
07 Volume of moving object,31 Object-generated harmful factor,IP #17 and IP #2 and IP #40 and IP #1
07 Volume of moving object,32 Ease of manufacture,IP #29 and IP #1 and IP #40
07 Volume of moving object,33 Ease of operation,IP #15 and IP #13 and IP #30 and IP #12
07 Volume of moving object,34 Ease of repair,IP #10
07 Volume of moving object,35 Adaptability or Versatility,IP #15 and IP #29
07 Volume of moving object,36 Device complexity,IP #26 and IP #1
07 Volume of moving object,37 Difficulty of detection,IP #29 and IP #26 and IP #4
07 Volume of moving object,38 Extent of automation,IP #35 and IP #34 and IP #16 and IP #24
07 Volume of moving object,39 Productivity,IP #10 and IP #6 and IP #2 and IP #34
08 Volume of stationary object,01 Weight of moving object,no preferred inventive principles
08 Volume of stationary object,02 Weight of stationary object,IP #35 and IP #10 and IP #19 and IP #14
08 Volume of stationary object,03 Length of moving object,IP #19 and IP #14
08 Volume of stationary object,04 Length of stationary object,IP #35 and IP #8 and IP #2 and IP #14
08 Volume of stationary object,05 Area of moving object,no preferred inventive principles
08 Volume of stationary object,06 Area of stationary object,no preferred inventive principles
08 Volume of stationary object,07 Volume of moving object,no preferred inventive principles
08 Volume of stationary object,08 Volume of stationary object,see physical contradiction
08 Volume of stationary object,09 Speed,no preferred inventive principles
08 Volume of stationary object,10 Force (Intensity),IP #2 and IP #18 and IP #37
08 Volume of stationary object,11 Stress or pressure,IP #24 and IP #35
08 Volume of stationary object,12 Shape,IP #7 and IP #2 and IP #35
08 Volume of stationary object,13 Stability of the object composition,IP #34 and IP #28 and IP #35 and IP #40
08 Volume of stationary object,14 Strength,IP #9 and IP #14 and IP #17 and IP #15
08 Volume of stationary object,15 Duration of action of moving object,no preferred inventive principles
08 Volume of stationary object,16 Duration of action of stationary object,IP #35 and IP #34 and IP #38
08 Volume of stationary object,17 Temperature,IP #35 and IP #6 and IP #4
08 Volume of stationary object,18 Illumination intensity,no preferred inventive principles
08 Volume of stationary object,19 Use of energy by moving object,no preferred inventive principles
08 Volume of stationary object,20 Use of energy by stationary object,no preferred inventive principles
08 Volume of stationary object,21 Power,IP #30 and IP #6
08 Volume of stationary object,22 Loss of energy,no preferred inventive principles
08 Volume of stationary object,23 Loss of substance,IP #10 and IP #39 and IP #35 and IP #34
08 Volume of stationary object,24 Loss of information,no preferred inventive principles
08 Volume of stationary object,25 Loss of time,IP #35 and IP #16 and IP #32 IP #18
08 Volume of stationary object,26 Quantity of substance,IP #35 and IP #3
08 Volume of stationary object,27 Reliability,IP #2 and IP #35 and IP #16
08 Volume of stationary object,28 Measurement accuracy,no preferred inventive principles
08 Volume of stationary object,29 Manufacturing precision,IP #35 and IP #10 and IP #25
08 Volume of stationary object,30 Object-affected harmful factor,IP #34 and IP #39 and IP #19 and IP #27
08 Volume of stationary object,31 Object-generated harmful factor,IP #30 and IP #18 and IP #35 and IP #4
08 Volume of stationary object,32 Ease of manufacture,IP #35
08 Volume of stationary object,33 Ease of operation,no preferred inventive principles
08 Volume of stationary object,34 Ease of repair,IP #1
08 Volume of stationary object,35 Adaptability or Versatility,no preferred inventive principles
08 Volume of stationary object,36 Device complexity,IP #1 and IP #31
08 Volume of stationary object,37 Difficulty of detection,IP #2 and IP #17 and IP #26
08 Volume of stationary object,38 Extent of automation,no preferred inventive principles
08 Volume of stationary object,39 Productivity,IP #35 and IP #37 and IP #10 and IP #2
09 Speed,01 Weight of moving object,IP #2 and IP #28 and IP #13 and IP #38
09 Speed,02 Weight of stationary object,no preferred inventive principles
09 Speed,03 Length of moving object,IP #13 and IP #14 and IP #8
09 Speed,04 Length of stationary object,no preferred inventive principles
09 Speed,05 Area of moving object,IP #29 and IP #30 and IP #34
09 Speed,06 Area of stationary object,no preferred inventive principles
09 Speed,07 Volume of moving object,IP #7 and IP #29 and IP #34
09 Speed,08 Volume of stationary object,no preferred inventive principles
09 Speed,09 Speed,see physical contradiction
09 Speed,10 Force (Intensity),IP #13 and IP #28 and IP #15 and IP #19
09 Speed,11 Stress or pressure,IP #6 and IP #18 and IP #38 and IP #40
09 Speed,12 Shape,IP #35 and IP #15 and IP #18 and IP #34
09 Speed,13 Stability of the object composition,IP #28 and IP #33 and IP #1 and IP #18
09 Speed,14 Strength,IP #8 and IP #3 and IP #26 and IP #14
09 Speed,15 Duration of action of moving object,IP #3 and IP #19 and IP #35 and IP #5
09 Speed,16 Duration of action of stationary object,no preferred inventive principles
09 Speed,17 Temperature,IP #28 and IP #30 and IP #36 and IP #2
09 Speed,18 Illumination intensity,IP #10 and IP #13 and IP #19
09 Speed,19 Use of energy by moving object,IP #8 and IP #15 and IP #35 and IP #38
09 Speed,20 Use of energy by stationary object,no preferred inventive principles
09 Speed,21 Power,IP #19 and IP #35 and IP #38 and IP #2
09 Speed,22 Loss of energy,IP #14 and IP #20 and IP #19 and IP #35
09 Speed,23 Loss of substance,IP #10 and IP #13 and IP #28 and IP #38
09 Speed,24 Loss of information,IP #13 and IP #26
09 Speed,25 Loss of time,no preferred inventive principles
09 Speed,26 Quantity of substance,IP #10 and IP #19 and IP #29 and IP #38
09 Speed,27 Reliability,IP #11 and IP #35 and IP #27 and IP #28
09 Speed,28 Measurement accuracy,IP #28 and IP #32 and IP #1 and IP #24
09 Speed,29 Manufacturing precision,IP #10 and IP #28 and IP #32 and IP #25
09 Speed,30 Object-affected harmful factor,IP #1 and IP #28 and IP #35 and IP #23
09 Speed,31 Object-generated harmful factor,IP #2 and IP #24 and IP #35 and IP #21
09 Speed,32 Ease of manufacture,IP #35 and IP #13 and IP #8 and IP #1
09 Speed,33 Ease of operation,IP #32 and IP #28 and IP #13 and IP #12
09 Speed,34 Ease of repair,IP #34 and IP #2 and IP #28 and IP #27
09 Speed,35 Adaptability or Versatility,IP #15 and IP #10 and IP #26
09 Speed,36 Device complexity,IP #10 and IP #28 and IP #4 and IP #34
09 Speed,37 Difficulty of detection,IP #3 and IP #34 and IP #27 and IP #16
09 Speed,38 Extent of automation,IP #10 and IP #18
09 Speed,39 Productivity,no preferred inventive principles
10 Force (Intensity),01 Weight of moving object,IP #8 and IP #1 and IP #37 and IP #18
10 Force (Intensity),02 Weight of stationary object,IP #18 and IP #13 and IP #1 and IP #28
10 Force (Intensity),03 Length of moving object,IP #17 and IP #19 and IP #9 and IP #36
10 Force (Intensity),04 Length of stationary object,IP #28 and IP #10
10 Force (Intensity),05 Area of moving object,IP #19 and IP #10 and IP #15
10 Force (Intensity),06 Area of stationary object,IP #1 and IP #18 and IP #36 and IP #37
10 Force (Intensity),07 Volume of moving object,IP #15 and IP #9 and IP #12 and IP #37
10 Force (Intensity),08 Volume of stationary object,IP #2 and IP #36 and IP #18 and IP #37
10 Force (Intensity),09 Speed,IP #13 and IP #28 and IP #15 and IP #12
10 Force (Intensity),10 Force (Intensity),see physical contradiction
10 Force (Intensity),11 Stress or pressure,IP #18 and IP #21 and IP #11
10 Force (Intensity),12 Shape,IP #10 and IP #35 and IP #40 and IP #34
10 Force (Intensity),13 Stability of the object composition,IP #35 and IP #10 and IP #21
10 Force (Intensity),14 Strength,IP #35 and IP #10 and IP #14 and IP #27
10 Force (Intensity),15 Duration of action of moving object,IP #19 and IP #2
10 Force (Intensity),16 Duration of action of stationary object,no preferred inventive principles
10 Force (Intensity),17 Temperature,IP #35 and IP #10 and IP #21
10 Force (Intensity),18 Illumination intensity,no preferred inventive principles
10 Force (Intensity),19 Use of energy by moving object,IP #19 and IP #17 and IP #10
10 Force (Intensity),20 Use of energy by stationary object,IP #1 and IP #16 and IP #36 and IP #37
10 Force (Intensity),21 Power,IP #19 and IP #35 and IP #18 and IP #37
10 Force (Intensity),22 Loss of energy,IP #14 and IP #15
10 Force (Intensity),23 Loss of substance,IP #8 and IP #35 and IP #40 and IP #5
10 Force (Intensity),24 Loss of information,no preferred inventive principles
10 Force (Intensity),25 Loss of time,IP #10 and IP #37 and IP #36
10 Force (Intensity),26 Quantity of substance,IP #14 and IP #29 and IP #18 and IP #36
10 Force (Intensity),27 Reliability,IP #3 and IP #35 and IP #13 and IP #21
10 Force (Intensity),28 Measurement accuracy,IP #35 and IP #10 and IP #23 and IP #24
10 Force (Intensity),29 Manufacturing precision,IP #28 and IP #29 and IP #37 and IP #36
10 Force (Intensity),30 Object-affected harmful factor,IP #1 and IP #35 and IP #40 and IP #18
